City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Date,Current Descripion
101,San Cristobal,VE,7.7669,-72.225,93.2,40,40,23.02,2021-04-12 17:24:22,scattered clouds
102,Upernavik,GL,72.7868,-56.1549,30.87,96,100,13.15,2021-04-12 17:24:23,light snow
103,Port Alfred,ZA,-33.5906,26.891,71.38,91,96,14.47,2021-04-12 17:24:23,overcast clouds
104,San Policarpo,PH,12.1791,125.5072,79.03,85,56,9.28,2021-04-12 17:24:24,broken clouds
105,Leningradskiy,RU,69.3833,178.4167,-7.65,82,99,7.05,2021-04-12 17:24:24,overcast clouds
106,Ravar,IR,31.2656,56.8055,74.08,26,88,12.66,2021-04-12 17:24:25,overcast clouds
107,Luderitz,NA,-26.6481,15.1594,77.76,43,6,6.64,2021-04-12 17:24:25,clear sky
108,Hermanus,ZA,-34.4187,19.2345,66.99,84,100,3.0,2021-04-12 17:24:25,overcast clouds
109,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,83.71,77,50,2.89,2021-04-12 17:24:26,scattered clouds
110,Qinzhou,CN,21.95,108.6167,75.29,81,78,6.26,2021-04-12 17:24:26,light rain
111,Bengkulu,ID,-3.8004,102.2655,76.26,88,91,4.09,2021-04-12 17:24:26,overcast clouds
112,Tuatapere,NZ,-46.1333,167.6833,48.99,94,100,1.99,2021-04-12 17:24:27,moderate rain
113,Yellowknife,CA,62.456,-114.3525,7.0,85,40,14.97,2021-04-12 17:24:27,scattered clouds
114,Champua,IN,22.0833,85.6667,77.61,55,24,10.25,2021-04-12 17:24:28,few clouds
115,Dudinka,RU,69.4058,86.1778,22.03,94,100,12.15,2021-04-12 17:24:28,overcast clouds
116,Saint George,US,37.1041,-113.5841,66.99,15,1,3.58,2021-04-12 17:21:37,clear sky
117,Polson,US,47.6936,-114.1632,37.99,79,9,3.0,2021-04-12 17:24:29,clear sky
118,Ust-Maya,RU,60.4167,134.5333,-7.92,99,45,1.61,2021-04-12 17:24:29,scattered clouds
119,Gazli,UZ,40.1333,63.45,65.73,17,76,10.0,2021-04-12 17:24:30,broken clouds
120,Carnarvon,AU,-24.8667,113.6333,75.29,73,87,23.06,2021-04-12 17:20:17,overcast clouds
121,Port Hawkesbury,CA,45.6169,-61.3485,51.01,75,1,14.97,2021-04-12 17:24:30,clear sky
122,Cherskiy,RU,68.75,161.3,-27.6,100,19,3.18,2021-04-12 17:24:31,few clouds
123,La Ronge,CA,55.1001,-105.2842,30.2,43,93,9.22,2021-04-12 17:24:31,overcast clouds
124,Vicksburg,US,32.3526,-90.8779,78.8,38,1,3.44,2021-04-12 17:24:31,clear sky
125,San Ignacio,BZ,17.1561,-89.0714,91.4,62,0,9.22,2021-04-12 17:24:32,clear sky
126,Kavieng,PG,-2.5744,150.7967,77.52,84,100,13.02,2021-04-12 17:24:32,moderate rain
127,Roald,NO,62.5833,6.1333,39.2,70,75,14.97,2021-04-12 17:24:32,broken clouds
128,Puerto Ayora,EC,-0.7393,-90.3518,78.01,88,75,6.91,2021-04-12 17:24:33,light rain
129,Bluff,NZ,-46.6,168.3333,48.99,94,99,1.99,2021-04-12 17:24:33,overcast clouds
130,Sidney,AU,-33.8679,151.2073,52.0,76,20,10.36,2021-04-12 17:22:36,few clouds
131,Talara,PE,-4.5772,-81.2719,86.0,62,0,13.8,2021-04-12 17:23:20,clear sky
132,Bitkine,TD,11.9801,18.2138,94.75,8,88,7.18,2021-04-12 17:24:34,overcast clouds
133,Wanning,CN,18.8003,110.3967,74.71,91,6,3.38,2021-04-12 17:24:35,clear sky
134,Faanui,PF,-16.4833,-151.75,82.17,73,100,13.53,2021-04-12 17:24:35,overcast clouds
135,Berlevag,NO,70.8578,29.0864,32.0,74,20,23.02,2021-04-12 17:24:36,light snow
136,Pilar,BR,-9.5972,-35.9567,75.2,94,90,10.36,2021-04-12 17:24:36,overcast clouds
137,Gravdal,NO,68.1214,13.5031,35.6,75,75,1.14,2021-04-12 17:24:36,broken clouds
138,Port Blair,IN,11.6667,92.75,82.85,74,73,2.8,2021-04-12 17:24:37,broken clouds
139,Ribeira Grande,PT,38.5167,-28.7,64.4,88,40,14.97,2021-04-12 17:24:37,scattered clouds
140,Upata,VE,8.0086,-62.3989,90.0,62,88,5.01,2021-04-12 17:24:38,overcast clouds
141,Torbay,CA,47.6666,-52.7314,37.99,100,90,14.97,2021-04-12 17:24:38,light rain
142,State College,US,40.7934,-77.86,54.0,93,90,4.61,2021-04-12 17:21:21,light rain
143,Colares,PT,38.7992,-9.4469,64.0,63,0,2.3,2021-04-12 17:24:39,clear sky
144,Dunedin,NZ,-45.8742,170.5036,55.99,71,41,6.78,2021-04-12 17:24:39,scattered clouds
145,Coahuayana,MX,18.7333,-103.6833,80.6,54,1,9.22,2021-04-12 17:24:39,clear sky
146,Namibe,AO,-15.1961,12.1522,81.73,65,2,6.46,2021-04-12 17:24:40,clear sky
147,Barreirinha,BR,-2.7933,-57.07,90.59,52,89,3.04,2021-04-12 17:24:40,overcast clouds
148,Kroya,ID,-7.6331,109.2461,79.21,84,100,1.7,2021-04-12 17:24:41,overcast clouds
149,Sorong,ID,-0.8833,131.25,79.74,82,90,6.15,2021-04-12 17:24:41,overcast clouds
150,Athabasca,CA,54.7169,-113.2854,33.8,55,64,6.91,2021-04-12 17:24:41,broken clouds
151,Kazachinskoye,RU,57.6953,93.2761,34.36,97,100,8.37,2021-04-12 17:24:42,light snow
152,Atuona,PF,-9.8,-139.0333,79.21,80,48,16.75,2021-04-12 17:24:42,light rain
153,Lhokseumawe,ID,5.1801,97.1507,77.59,86,23,4.7,2021-04-12 17:24:42,few clouds
154,Jati,PK,24.3539,68.2671,81.84,48,0,12.46,2021-04-12 17:24:43,clear sky
155,Santa Maria,BR,-29.6842,-53.8069,71.6,60,75,5.75,2021-04-12 17:24:43,broken clouds
156,Baykalovo,RU,57.3981,63.7684,40.59,82,12,7.09,2021-04-12 17:24:44,few clouds
157,Saint-Joseph,RE,-21.3667,55.6167,78.8,78,0,4.61,2021-04-12 17:24:44,light rain
158,Bowen,AU,-20.0167,148.2333,69.8,88,75,4.61,2021-04-12 17:24:45,broken clouds
159,Fomboni,KM,-12.28,43.7425,83.97,72,96,18.72,2021-04-12 17:24:46,overcast clouds
160,Mbandaka,CD,0.0487,18.2603,78.31,72,95,1.59,2021-04-12 17:24:46,overcast clouds
161,Sobolevo,RU,54.4299,31.8996,48.06,86,100,5.08,2021-04-12 17:24:46,light rain
162,San Agustin,MX,20.5333,-103.4667,81.0,18,1,3.44,2021-04-12 17:24:47,clear sky
163,Gushikawa,JP,26.3544,127.8686,73.4,83,40,8.05,2021-04-12 17:24:47,scattered clouds
164,Nome,US,64.5011,-165.4064,30.99,93,90,16.11,2021-04-12 17:24:48,light snow
165,Leshukonskoye,RU,64.8989,45.7622,40.62,74,100,9.8,2021-04-12 17:24:48,overcast clouds
166,Ondjiva,AO,-17.0667,15.7333,84.2,32,0,5.75,2021-04-12 17:24:49,clear sky
167,Cidreira,BR,-30.1811,-50.2056,71.89,64,93,12.73,2021-04-12 17:24:49,overcast clouds
168,Tawang,IN,27.5833,91.8667,42.67,73,58,1.14,2021-04-12 17:24:50,broken clouds
169,Jinxi,CN,30.4323,116.2922,61.16,90,100,2.64,2021-04-12 17:24:51,overcast clouds
170,Bystryy Istok,RU,52.371,84.3873,34.05,97,97,3.87,2021-04-12 17:24:51,overcast clouds
171,Souillac,MU,-20.5167,57.5167,73.4,94,75,1.14,2021-04-12 17:24:51,light rain
172,Barcelos,PT,41.5388,-8.6151,66.2,42,20,11.5,2021-04-12 17:24:52,few clouds
173,Marawi,PH,7.9986,124.2928,75.99,88,58,4.0,2021-04-12 17:24:52,broken clouds
174,Shache,CN,38.4167,77.2406,63.0,20,25,7.36,2021-04-12 17:20:19,scattered clouds
175,Ponta Do Sol,PT,32.6667,-17.1,68.0,88,40,14.97,2021-04-12 17:24:53,scattered clouds
176,Hay River,CA,60.8156,-115.7999,19.4,45,32,16.11,2021-04-12 17:24:53,scattered clouds
177,Caravelas,BR,-17.7125,-39.2481,86.18,47,28,9.82,2021-04-12 17:24:54,scattered clouds
178,Vranovice,CZ,48.966,16.6066,44.01,81,90,18.41,2021-04-12 17:24:54,light rain
179,Oranjestad,AW,12.524,-70.027,86.0,70,20,25.32,2021-04-12 17:24:55,few clouds
180,Sisimiut,GL,66.9395,-53.6735,36.18,77,100,8.95,2021-04-12 17:24:55,overcast clouds
181,Naruja,GE,41.9069,41.9542,50.0,81,75,3.44,2021-04-12 17:24:55,broken clouds
182,Plouzane,FR,48.3833,-4.6167,51.8,53,0,9.22,2021-04-12 17:24:56,clear sky
183,Ayan,RU,56.45,138.1667,10.09,91,96,6.08,2021-04-12 17:24:56,overcast clouds
184,Songea,TZ,-10.6833,35.65,71.6,88,75,5.75,2021-04-12 17:24:57,light rain
185,Leh,IN,34.1667,77.5833,32.52,54,33,3.49,2021-04-12 17:24:57,scattered clouds
186,Walvis Bay,NA,-22.9575,14.5053,91.4,19,0,12.66,2021-04-12 17:24:57,clear sky
187,Leo,BF,11.1,-2.1,105.21,10,5,8.95,2021-04-12 17:24:58,clear sky
188,San Patricio,US,28.017,-97.5169,86.0,58,75,13.8,2021-04-12 17:24:58,broken clouds
189,Chincha Alta,PE,-13.4099,-76.1323,75.2,60,0,6.91,2021-04-12 17:24:59,clear sky
190,Chuy,UY,-33.6971,-53.4616,70.23,50,0,6.2,2021-04-12 17:24:59,clear sky
191,Kautokeino,NO,69.0125,23.0412,17.19,85,3,1.95,2021-04-12 17:24:59,clear sky
192,Isperih,BG,43.7167,26.8333,51.6,54,11,2.86,2021-04-12 17:25:00,few clouds
