City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
365,Codrington,-38.2667,141.9667,60.35,57,37,7.54,AU,2021-04-12 04:48:42
366,Kavieng,-2.5744,150.7967,81.41,79,93,13.0,PG,2021-04-12 04:48:42
367,Sorland,67.667,12.6934,30.2,86,40,3.44,NO,2021-04-12 04:48:43
368,Taiyuan,37.8694,112.5603,64.4,42,46,6.71,CN,2021-04-12 04:48:43
369,Henties Bay,-22.116,14.2845,81.0,36,0,1.01,NA,2021-04-12 04:48:44
370,Tooele,40.5308,-112.2983,45.0,60,1,6.91,US,2021-04-12 04:48:45
371,Edd,13.9297,41.6925,80.24,72,46,3.4,ER,2021-04-12 04:48:45
372,Coahuayana,18.7333,-103.6833,68.47,87,62,3.36,MX,2021-04-12 04:48:46
373,Ust-Kulom,61.6864,53.6902,37.54,78,6,9.04,RU,2021-04-12 04:48:46
374,Zaterechnyy,44.7931,45.2097,54.37,62,94,5.01,RU,2021-04-12 04:48:47
375,Kirkwall,58.9848,-2.9587,30.2,80,40,3.44,GB,2021-04-12 04:48:47
376,Tiarei,-17.5333,-149.3333,82.4,69,75,8.05,PF,2021-04-12 04:48:47
377,Ramanuj Ganj,23.8,83.7,99.77,10,3,3.69,IN,2021-04-12 04:48:48
378,Arnstadt,50.8333,10.95,35.01,93,75,6.91,DE,2021-04-12 04:48:48
379,Aykhal,66.0,111.5,22.26,87,98,15.84,RU,2021-04-12 04:48:49
380,Barranca,-10.75,-77.7667,68.13,84,100,5.35,PE,2021-04-12 04:48:49
381,San Jose,37.3394,-121.895,55.4,66,40,11.5,US,2021-04-12 04:47:01
382,Zhigansk,66.7697,123.3711,17.83,72,49,7.65,RU,2021-04-12 04:48:50
383,Kualakapuas,-3.0091,114.3876,87.8,66,40,4.61,ID,2021-04-12 04:48:50
384,Caluquembe,-13.7833,14.6833,58.55,76,70,4.23,AO,2021-04-12 04:48:51
385,Rio Grande,-32.035,-52.0986,61.0,88,74,5.99,BR,2021-04-12 04:48:51
386,Ingham,42.6,-84.3833,46.99,93,90,3.44,US,2021-04-12 04:48:51
387,Ahar,38.4774,47.0699,55.94,35,0,10.56,IR,2021-04-12 04:48:52
388,Tokmak,47.2514,35.7058,50.16,84,100,4.63,UA,2021-04-12 04:48:52
389,Srandakan,-7.9386,110.2506,85.96,67,66,7.92,ID,2021-04-12 04:48:53
390,Vestmannaeyjar,63.4427,-20.2734,41.11,89,100,15.3,IS,2021-04-12 04:48:54
391,Sorong,-0.8833,131.25,84.36,68,16,8.48,ID,2021-04-12 04:48:54
392,Tambun,-6.2641,107.0712,91.4,49,40,4.61,ID,2021-04-12 04:48:55
393,Poya,-21.35,165.15,74.86,95,100,3.96,NC,2021-04-12 04:48:55
394,Menongue,-14.6585,17.691,56.25,70,20,4.32,AO,2021-04-12 04:48:56
395,Mizdah,31.4451,12.9801,59.31,26,99,9.42,LY,2021-04-12 04:48:56
396,Shingu,33.7333,135.9833,68.0,52,75,18.41,JP,2021-04-12 04:48:56
397,Mahibadhoo,3.7833,72.9667,82.87,71,18,5.23,MV,2021-04-12 04:48:57
398,Luanda,-8.8368,13.2343,78.8,83,75,4.61,AO,2021-04-12 04:43:58
399,Kahului,20.8947,-156.47,73.4,68,40,9.22,US,2021-04-12 04:48:58
400,Kalachinsk,55.0529,74.5751,35.2,98,74,9.26,RU,2021-04-12 04:48:58
401,Kununurra,-15.7667,128.7333,95.0,38,75,6.91,AU,2021-04-12 04:48:58
402,Kaffrine,14.1059,-15.5508,74.03,32,1,7.43,SN,2021-04-12 04:48:59
403,Igrim,63.1906,64.4162,37.0,79,7,13.91,RU,2021-04-12 04:48:59
