City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Date,Current Description
121,Narsaq,GL,60.9167,-46.05,44.6,36,20,6.91,2021-04-12 18:01:48,few clouds
122,Iqaluit,CA,63.7506,-68.5145,35.6,87,75,10.36,2021-04-12 18:01:49,broken clouds
123,Hambantota,LK,6.1241,81.1185,79.72,77,51,0.49,2021-04-12 18:01:49,broken clouds
124,New Norfolk,AU,-42.7826,147.0587,46.99,88,46,2.77,2021-04-12 18:01:50,scattered clouds
125,Kampot,KH,10.6167,104.1833,78.8,89,20,1.14,2021-04-12 18:01:50,few clouds
126,Huilong,CN,31.8111,121.655,61.0,96,37,7.38,2021-04-12 18:01:51,scattered clouds
127,Valdivia,CL,-39.8142,-73.2459,68.0,68,75,2.3,2021-04-12 18:01:51,broken clouds
128,Te Anau,NZ,-45.4167,167.7167,47.19,91,100,1.43,2021-04-12 18:01:51,light rain
129,Clyde River,CA,70.4692,-68.5914,23.0,93,90,17.27,2021-04-12 18:01:52,overcast clouds
130,Georgiyevskoye,RU,58.731,45.024,39.43,96,69,5.35,2021-04-12 18:01:52,broken clouds
131,Santo Antonio Do Ica,BR,-3.1022,-67.9397,86.02,60,99,3.96,2021-04-12 18:01:53,overcast clouds
132,Mataura,NZ,-46.1927,168.8643,50.0,95,99,1.99,2021-04-12 18:01:53,light rain
133,Vientiane,LA,17.9667,102.6,91.0,77,60,2.59,2021-04-12 17:59:54,broken clouds
134,Monrovia,LR,6.3005,-10.7969,89.6,66,40,8.05,2021-04-12 18:01:54,scattered clouds
135,Ixtapa,MX,20.7,-105.2,78.8,69,1,10.36,2021-04-12 18:01:54,clear sky
136,Zhicheng,CN,30.2956,111.5047,61.0,90,98,0.92,2021-04-12 18:01:55,light rain
137,Kathu,TH,7.9178,98.3332,87.01,88,20,1.14,2021-04-12 18:01:55,few clouds
138,Puerto Ayora,EC,-0.7393,-90.3518,77.0,88,75,6.91,2021-04-12 18:01:55,light rain
139,Port Blair,IN,11.6667,92.75,82.56,75,64,3.58,2021-04-12 18:01:56,broken clouds
140,Tautira,PF,-17.7333,-149.15,82.4,65,75,6.91,2021-04-12 18:01:56,light rain
141,Sakakah,SA,29.9697,40.2064,69.8,19,0,17.27,2021-04-12 18:01:57,clear sky
142,Lesnoy,RU,57.6198,63.0784,37.63,86,1,5.14,2021-04-12 18:01:57,clear sky
143,Burriana,ES,39.889,-0.085,57.99,71,27,7.94,2021-04-12 18:01:57,scattered clouds
144,Provideniya,RU,64.3833,-173.3,13.44,91,100,16.46,2021-04-12 18:01:58,light snow
145,Lokosovo,RU,61.1333,74.8167,32.11,87,9,10.42,2021-04-12 18:01:58,clear sky
146,Shakhtinsk,KZ,49.71,72.5872,33.8,75,0,6.71,2021-04-12 18:01:59,clear sky
147,Larsnes,NO,62.2028,5.5773,39.2,52,75,6.91,2021-04-12 18:01:59,broken clouds
148,Tasiilaq,GL,65.6145,-37.6368,30.2,69,11,5.75,2021-04-12 18:02:00,few clouds
149,Ahipara,NZ,-35.1667,173.1667,63.61,94,20,6.4,2021-04-12 18:02:00,few clouds
150,Eureka,US,40.8021,-124.1637,55.0,87,75,5.75,2021-04-12 17:58:07,haze
151,Dubbo,AU,-32.25,148.6167,37.4,93,0,4.61,2021-04-12 18:02:01,clear sky
152,Kandalaksha,RU,67.162,32.4123,35.01,100,100,2.51,2021-04-12 18:02:01,light snow
153,Pierre,US,44.3683,-100.351,51.01,42,90,35.68,2021-04-12 18:02:02,overcast clouds
154,Upernavik,GL,72.7868,-56.1549,30.94,96,100,13.58,2021-04-12 18:02:02,light snow
155,Zambrow,PL,52.9855,22.2432,57.0,71,100,11.99,2021-04-12 17:59:35,overcast clouds
156,Beringovskiy,RU,63.05,179.3167,7.79,91,100,26.37,2021-04-12 18:02:03,light snow
157,Lubao,PH,14.9167,120.55,78.8,83,40,2.3,2021-04-12 18:02:03,scattered clouds
158,Sire,NG,12.9299,5.2043,93.96,11,0,4.56,2021-04-12 18:02:03,clear sky
159,Foumban,CM,5.7291,10.9001,73.85,59,93,1.9,2021-04-12 18:02:04,overcast clouds
160,Zhuanghe,CN,39.7008,122.9911,43.0,63,83,8.01,2021-04-12 18:02:04,broken clouds
161,Rubiataba,BR,-15.1644,-49.8033,79.0,73,75,0.96,2021-04-12 18:02:04,broken clouds
162,Redwater,US,33.3582,-94.2544,82.4,24,1,8.05,2021-04-12 18:02:05,clear sky
163,Liwale,TZ,-9.7667,37.9333,69.53,99,100,5.03,2021-04-12 18:02:05,heavy intensity rain
164,Stupino,RU,54.9008,38.0708,51.8,43,0,11.18,2021-04-12 18:01:57,clear sky
165,Rio Gallegos,AR,-51.6226,-69.2181,59.0,25,0,23.02,2021-04-12 18:02:05,clear sky
166,Guanare,VE,9.0418,-69.7421,82.36,68,96,8.63,2021-04-12 18:02:06,overcast clouds
167,Bela Vista,BR,-22.1089,-56.5211,87.49,49,84,4.16,2021-04-12 18:02:06,broken clouds
168,Ryde,GB,50.73,-1.1621,48.0,100,97,1.01,2021-04-12 18:02:07,overcast clouds
169,Port Elizabeth,ZA,-33.918,25.5701,69.8,94,0,12.66,2021-04-12 18:00:49,clear sky
170,Severo-Kurilsk,RU,50.6789,156.125,32.5,96,100,3.8,2021-04-12 18:02:07,light snow
171,Torbay,CA,47.6666,-52.7314,37.0,100,90,14.97,2021-04-12 18:02:08,light rain
172,Ewa Beach,US,21.3156,-158.0072,73.99,94,1,7.31,2021-04-12 18:00:50,clear sky
173,Roald,NO,62.5833,6.1333,37.4,75,75,19.57,2021-04-12 18:02:08,broken clouds
174,Kabanjahe,ID,3.1001,98.4908,63.39,96,40,1.59,2021-04-12 18:02:09,scattered clouds
175,Arlit,NE,18.7369,7.3853,93.2,5,0,5.14,2021-04-12 18:02:09,clear sky
176,Dikson,RU,73.5069,80.5464,25.83,92,100,18.12,2021-04-12 18:02:10,light snow
177,Mutis,CO,6.2262,-77.4044,81.61,83,95,7.36,2021-04-12 18:02:10,light rain
178,Biak,ID,-0.9131,122.8766,75.43,83,30,2.08,2021-04-12 18:02:11,scattered clouds
179,Victoria,HK,22.2855,114.1577,75.0,85,44,4.56,2021-04-12 18:00:03,scattered clouds
180,East London,ZA,-33.0153,27.9116,73.4,94,40,8.05,2021-04-12 18:02:11,scattered clouds
181,Hue,VN,16.4667,107.6,77.0,88,20,3.44,2021-04-12 18:02:11,few clouds
182,Kiliya,UA,45.4552,29.2637,57.2,38,75,6.91,2021-04-12 18:02:12,broken clouds
183,Neuquen,AR,-38.9516,-68.0591,80.6,34,0,10.36,2021-04-12 18:02:13,clear sky
184,Tomatlan,MX,19.9333,-105.25,89.35,33,5,10.02,2021-04-12 18:02:13,clear sky
185,La Seyne-Sur-Mer,FR,43.0982,5.8847,55.0,44,1,8.99,2021-04-12 18:02:13,clear sky
186,Nome,US,64.5011,-165.4064,30.99,93,90,16.11,2021-04-12 18:02:14,light snow
187,Port Lincoln,AU,-34.7333,135.8667,68.27,33,100,25.97,2021-04-12 18:02:14,overcast clouds
188,Saint George,US,37.1041,-113.5841,70.0,15,1,2.28,2021-04-12 18:00:04,clear sky
189,Fort William,GB,56.8165,-5.1121,45.0,63,3,1.99,2021-04-12 18:02:14,clear sky
190,Puerto Princesa,PH,9.7392,118.7353,77.77,86,68,3.06,2021-04-12 18:02:15,broken clouds
191,Cherskiy,RU,68.75,161.3,-28.07,100,30,3.83,2021-04-12 18:02:15,scattered clouds
192,Kedrovyy,RU,56.1667,91.8167,37.4,87,75,13.42,2021-04-12 18:02:16,snow
193,Zhigansk,RU,66.7697,123.3711,4.06,94,100,9.01,2021-04-12 18:02:16,overcast clouds
194,Henties Bay,NA,-22.116,14.2845,77.7,46,0,9.84,2021-04-12 18:02:17,clear sky
