City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
479,Camocim,BR,83.97,broken clouds,-2.9022,-40.8411,
480,Kimberley,ZA,75.2,clear sky,-28.7323,24.7623,
483,Pundaguitan,PH,80.89,overcast clouds,6.3711,126.1689,
485,Sao Jose Da Coroa Grande,BR,81.97,overcast clouds,-8.8978,-35.1478,
486,Matehuala,MX,86.68,scattered clouds,23.65,-100.65,
487,Pompeu,BR,82.08,broken clouds,-19.2244,-44.9353,
489,Roebourne,AU,81.84,scattered clouds,-20.7833,117.1333,
491,Les Cayes,HT,81.88,overcast clouds,18.2,-73.75,
494,Mongo,TD,92.23,broken clouds,12.1844,18.692999999999998,
495,Kavali,IN,80.51,clear sky,14.9167,79.9833,
496,Champerico,GT,91.4,clear sky,14.3,-91.9167,
497,Lere,NG,88.77,overcast clouds,10.387,8.5726,
503,Meulaboh,ID,77.29,overcast clouds,4.1363,96.1285,
506,Sarangani,PH,81.14,overcast clouds,5.4033,125.4636,
507,Caravelas,BR,84.38,scattered clouds,-17.7125,-39.2481,
513,Bathsheba,BB,84.2,volcanic ash,13.2167,-59.5167,
514,Khangarh,PK,84.2,haze,29.9173,71.1618,
519,General Roca,AR,80.6,clear sky,-39.0333,-67.5833,
521,Kuruman,ZA,73.0,scattered clouds,-27.4524,23.4325,
523,Niquero,CU,86.36,broken clouds,20.0431,-77.5828,
524,Maragogi,BR,81.93,overcast clouds,-9.0122,-35.2225,
528,Bentiu,SS,85.15,overcast clouds,9.2333,29.8333,
529,Kavaratti,IN,83.71,broken clouds,10.5669,72.642,
530,Acapulco,MX,84.2,few clouds,16.8634,-99.8901,
531,Nchelenge,ZM,70.23,moderate rain,-9.3451,28.734,
532,Madera,US,71.01,scattered clouds,37.1666,-119.8343,
534,Cotonou,BJ,87.8,few clouds,6.3654,2.4183,
535,Taltal,CL,70.21,scattered clouds,-25.4,-70.4833,
537,Cumberland,US,78.8,clear sky,35.0502,-78.8664,
543,Santiago,CL,82.99,clear sky,-33.4569,-70.6483,
545,Farafangana,MG,75.87,light rain,-22.8167,47.8333,
546,Kasaragod,IN,84.2,moderate rain,12.5,75.0,
547,Kilindoni,TZ,78.58,light rain,-7.9139,39.6668,
549,Myitkyina,MM,74.21,clear sky,25.3833,97.4,
550,Harper,LR,82.58,scattered clouds,4.375,-7.7169,
556,Temba,ZA,72.0,clear sky,-25.3803,28.2631,
566,Berbera,SO,81.54,broken clouds,10.4396,45.0143,
567,Canutama,BR,90.73,overcast clouds,-6.5339,-64.3831,
568,Ankazoabo,MG,74.48,overcast clouds,-22.2833,44.5167,
569,Jodiya,IN,82.94,clear sky,22.6925,70.306,
571,Tuyen Quang,VN,73.08,broken clouds,21.8233,105.2181,
572,Ouadda,CF,73.24,overcast clouds,8.0777,22.4007,
575,Poum,NC,77.79,overcast clouds,-20.2333,164.0167,
577,Kloulklubed,PW,78.8,overcast clouds,7.0419,134.2556,
581,Haapiti,PF,84.2,broken clouds,-17.5667,-149.8667,
590,Parrita,CR,82.4,broken clouds,9.5201,-84.3225,
591,Vao,NC,75.52,light rain,-22.6667,167.4833,
592,Sayula,MX,80.6,few clouds,19.8667,-103.6167,
594,Pitimbu,BR,84.2,scattered clouds,-7.4706,-34.8086,
597,Jitra,MY,77.0,few clouds,6.2681,100.4217,
598,Laguna,US,70.0,clear sky,38.421,-121.4238,
